symbol,Date,Open,High,Low,Close,Adj Close,Volume,Brent_Price, Gold_Price ,
2010,5/2/2023,91.300003,91.400002,90.400002,90.5,86.892227,500,75.32," $2,023.30 ",
2010,5/3/2023,90.400002,90.400002,89.599998,89.900002,86.316154,658,72.33," $2,037.00 ",
2010,5/4/2023,88.699997,89.400002,88.199997,89,85.452026,284,72.5," $2,055.70 ",
2010,5/7/2023,89.400002,90.400002,89.300003,90.199997,86.604187,250,#N/A,#N/A,
2010,5/8/2023,90.199997,91.199997,90.199997,91.199997,87.564323,500,77.01," $2,033.20 ",
2010,5/9/2023,91.400002,91.599998,90.800003,91.599998,87.948372,388,77.44," $2,042.90 ",
2010,5/10/2023,91.5,92.199997,91.199997,92.199997,88.524452,300,76.41," $2,037.10 ",
2010,5/11/2023,92.199997,93.5,92,93,89.292564,200,74.98," $2,020.50 ",
2010,5/14/2023,93,93.199997,92.400002,92.5,88.8125,300,#N/A,#N/A,
2010,5/15/2023,92.5,92.5,91,91,87.372299,300,75.23," $2,022.70 ",
2010,5/16/2023,91.099998,91.5,90.300003,91,87.372299,274,74.91," $1,993.00 ",
2010,5/17/2023,90.800003,91.5,90.599998,91,87.372299,847,76.96," $1,984.90 ",
2010,5/18/2023,91.099998,91.599998,90.599998,91.199997,87.564323,550,75.86," $1,959.80 ",
2010,5/21/2023,91.300003,91.300003,90.599998,91,87.372299,180,#N/A,#N/A,
2010,5/22/2023,90.800003,91,89.800003,90.099998,86.508171,343,75.99," $1,977.20 ",
2010,5/23/2023,90.199997,91,90.099998,90.099998,86.508171,1000,76.84," $1,974.50 ",
2010,5/24/2023,90.300003,90.800003,89.800003,90.800003,87.180267,891,78.36," $1,964.60 ",
2010,5/25/2023,90.699997,90.699997,90,90.099998,86.508171,398,76.26," $1,943.70 ",
2010,5/28/2023,90.099998,90.400002,89.900002,90.199997,86.604187,745,#N/A,#N/A,
2010,5/29/2023,90.199997,90.300003,89.800003,89.800003,86.220139,270,77.07,#N/A,
2010,5/30/2023,90.099998,90.699997,90,90.099998,86.508171,211,73.54," $1,958.00 ",
2010,5/31/2023,90,90.099998,88.199997,88.199997,84.683914,300,72.66," $1,963.90 ",
2010,6/1/2023,88.900002,89.099998,88.099998,88.300003,84.779938,500,74.28," $1,978.00 ",
2010,6/4/2023,88.900002,90.300003,88.900002,90.099998,86.508171,642,#N/A,#N/A,
2010,6/5/2023,90.300003,90.599998,89.699997,89.699997,86.124115,300,76.71," $1,974.30 ",
2010,6/6/2023,89.699997,90.099998,89.199997,89.699997,86.124115,400,76.29," $1,981.50 ",
2010,6/7/2023,90,90.099998,89.199997,89.199997,85.644051,495,76.95," $1,958.40 ",
2010,6/8/2023,88.900002,89.099998,88.099998,88.300003,84.779938,7354,75.96," $1,978.60 ",
2010,6/11/2023,88.800003,89.099998,88.699997,88.900002,85.35601,200,#N/A,#N/A,
2010,6/12/2023,88.900002,89.599998,88.800003,89.300003,85.740074,412,71.84," $1,969.70 ",
2010,6/13/2023,89.199997,89.5,88.699997,88.699997,85.163986,500,74.29," $1,958.60 ",
2010,6/14/2023,88.900002,89,88.5,88.599998,85.067978,1000,73.2," $1,968.90 ",
2010,6/15/2023,88.800003,88.900002,88.199997,88.300003,84.779938,200,75.67," $1,970.70 ",
2010,6/18/2023,88.699997,88.900002,88.5,88.699997,85.163986,746,#N/A,#N/A,
2010,6/19/2023,88.900002,88.900002,87.900002,88.099998,84.587898,1313172,76.09,#N/A,
2010,6/20/2023,88,88.300003,87.400002,88,84.491898,1290340,75.9," $1,947.70 ",
2010,6/21/2023,88,88.300003,87.5,88.300003,84.779938,1134538,77.12," $1,944.90 ",
2010,6/22/2023,88.199997,88.400002,87.900002,88.199997,84.683914,590458,74.14," $1,923.70 ",
2010,7/2/2023,88.199997,89,88.199997,89,85.452026,828864,#N/A,#N/A,
2010,7/3/2023,89.199997,89.300003,88.599998,89.199997,85.644051,1562260,74.65," $1,929.50 ",
2010,7/4/2023,89.199997,89.5,88.900002,89.300003,85.740074,679550,76.25,#N/A,
2010,7/5/2023,89.300003,89.5,88.599998,88.699997,85.163986,1175978,76.65," $1,927.10 ",
2010,7/6/2023,88.800003,88.900002,88.300003,88.599998,85.067978,779767,76.52," $1,915.40 ",
2010,7/9/2023,88.599998,89.400002,88.599998,89.300003,85.740074,783499,#N/A,#N/A,
2010,7/10/2023,89.400002,89.5,88.699997,88.800003,85.260002,1728530,77.69," $1,931.00 ",
2010,7/11/2023,88.900002,89,88.5,88.5,84.971962,917757,79.4," $1,937.10 ",
2010,7/12/2023,88.699997,89,88.5,88.5,84.971962,892078,80.11," $1,961.70 ",
2010,7/13/2023,88.5,88.800003,88.400002,88.400002,84.875946,972177,81.36," $1,963.80 ",
2010,7/16/2023,88.599998,88.900002,88,88.199997,84.683914,799033,#N/A,#N/A,
2010,7/17/2023,88.199997,88.199997,87,87,83.531754,1514295,78.5," $1,956.40 ",
2010,7/18/2023,87.099998,87.199997,85.699997,86.099998,82.667633,2022471,79.63," $1,980.80 ",
2010,7/19/2023,86.099998,86.199997,85.300003,85.5,82.091553,1369278,79.46," $1,980.80 ",
2010,7/20/2023,85.599998,85.699997,84,84.199997,80.843376,2328264,79.64," $1,970.90 ",
2010,7/23/2023,84.5,85.5,83.699997,85.400002,81.995537,1509583,#N/A,#N/A,
2010,7/24/2023,86,86.300003,85.199997,85.199997,81.803513,1707712,82.74," $1,962.20 ",
2010,7/25/2023,85.599998,86.099998,85.300003,86,82.571617,1716033,83.64," $1,963.70 ",
2010,7/26/2023,86,86.5,85.400002,86,82.571617,2196963,82.92," $1,970.10 ",
2010,7/27/2023,86.199997,86.800003,85.699997,86.5,83.051689,1883305,84.24," $1,945.70 ",
2010,7/30/2023,86.599998,87.300003,86.199997,86.400002,82.955681,1523749,#N/A,#N/A,
2010,7/31/2023,86.400002,86.400002,84.599998,85.699997,82.283577,2004431,85.56," $1,970.50 ",
2010,8/1/2023,85.699997,85.699997,84.699997,85.099998,81.707504,1023025,84.91," $1,940.70 ",
2010,8/2/2023,85.099998,85.800003,84.900002,85.400002,81.995537,1331431,83.2," $1,975.00 ",
2010,8/3/2023,85,86,84.900002,85,81.611488,1310293,85.14," $1,968.80 ",
2010,8/6/2023,85.5,85.5,84.699997,85,81.611488,536856,#N/A,#N/A,
2010,8/7/2023,85,85.400002,84,85,81.611488,1090165,85.34," $1,970.00 ",
2010,8/8/2023,85,85.300003,84.099998,84.099998,80.74736,1175172,86.17," $1,959.90 ",
2010,8/9/2023,84.400002,86.199997,83.800003,86.099998,82.667633,2939926,87.55," $1,950.60 ",
2010,8/10/2023,86,87.300003,85.599998,87.300003,83.819794,1908496,86.4," $1,948.90 ",
2010,8/13/2023,87.400002,88.199997,87.400002,88,84.491898,1176809,#N/A,#N/A,
2010,8/14/2023,88.199997,88.199997,86.699997,86.699997,83.243713,1500790,86.21," $1,944.00 ",
2010,8/15/2023,86.699997,87.199997,86.099998,86.099998,82.667633,1300217,84.89," $1,935.20 ",
2010,8/16/2023,86.099998,87.400002,85.699997,86.400002,82.955681,1821840,83.45," $1,928.30 ",
2010,8/17/2023,86,87,86,86.5,83.051689,1015104,84.12," $1,915.20 ",
2010,8/20/2023,86.5,88.099998,86.5,88,84.491898,1535993,#N/A,#N/A,
2010,8/21/2023,88.199997,88.900002,87.300003,87.300003,83.819794,2501972,84.46," $1,923.00 ",
2010,8/22/2023,87.400002,88.5,87.300003,88,84.491898,1507469,84.03," $1,926.00 ",
2010,8/23/2023,88.300003,89.300003,88,88,84.491898,2248025,83.21," $1,948.10 ",
2010,8/24/2023,88.599998,88.699997,87.800003,87.800003,84.299873,1055485,83.36," $1,947.10 ",
2010,8/27/2023,87.800003,88.5,87.800003,88.400002,84.875946,737313,#N/A,#N/A,
2010,8/28/2023,88.5,89,88.300003,88.400002,84.875946,1022780,84.42," $1,946.80 ",
2010,8/29/2023,88.5,89.199997,88.400002,89,85.452026,2260448,85.49," $1,965.10 ",
2010,8/30/2023,89.099998,90.099998,89,89.599998,86.028107,2208694,85.86," $1,973.00 ",
2010,8/31/2023,90,90.099998,88.400002,88.400002,84.875946,3489778,86.86," $1,965.90 ",
2010,9/3/2023,89.400002,90.099998,89.300003,90,86.412163,1703538,#N/A,#N/A,
2010,9/4/2023,90.099998,91,89.900002,89.900002,86.316154,1835661,89,#N/A,
2010,9/5/2023,89.900002,90.199997,89.699997,89.800003,86.220139,1183416,90.04," $1,952.60 ",
2010,9/6/2023,89.5,90.300003,89.400002,89.900002,86.316154,1657917,90.6," $1,944.20 ",
2010,9/7/2023,89.800003,90.099998,88.900002,88.900002,85.35601,1750737,89.92," $1,942.50 ",
2010,9/10/2023,88.900002,88.900002,88.900002,88.900002,85.35601,0,#N/A,#N/A,
2010,9/11/2023,88.699997,90,88.699997,90,86.412163,1777042,90.64," $1,947.20 ",
2010,9/12/2023,90.199997,90.400002,88.300003,88.800003,85.260002,2242091,92.06," $1,935.10 ",
2010,9/13/2023,87.800003,87.800003,85.599998,85.699997,83.986,2428009,91.88," $1,932.50 ",
2010,9/14/2023,86,86.199997,85.400002,85.5,83.790001,2116109,93.7," $1,932.80 ",
2010,9/17/2023,85.5,85.5,85.5,85.5,83.790001,0,#N/A,#N/A,
2010,9/18/2023,85.5,85.599998,84.099998,84.099998,82.417999,1497426,94.43," $1,953.40 ",
2010,9/19/2023,84.599998,85.099998,84.099998,84.5,82.810005,1061312,94.34," $1,953.70 ",
2010,9/20/2023,84.800003,85,84,84,82.32,1355413,93.53," $1,967.10 ",
2010,9/21/2023,84.300003,84.400002,83,83,81.340004,1559543,93.3," $1,939.60 ",
2010,9/25/2023,83.300003,83.699997,83,83.099998,81.438004,1312480,93.29," $1,936.60 ",
2010,9/26/2023,83.199997,84.099998,82.300003,82.300003,80.654007,2177977,93.96," $1,919.80 ",
2010,9/27/2023,82.300003,83.400002,82,82.5,80.849998,1675559,96.55," $1,890.90 ",
2010,9/28/2023,83.099998,83.400002,82.5,82.5,80.849998,1412520,95.38," $1,878.60 ",
2010,10/1/2023,82.5,82.5,82.5,82.5,80.849998,0,#N/A,#N/A,
2010,10/2/2023,82.800003,83,82,82,80.360001,1636240,90.71," $1,847.20 ",
2010,10/3/2023,82,82.400002,82,82.099998,80.458,1018373,90.92," $1,841.50 ",
2010,10/4/2023,82.099998,82.199997,81.099998,81.099998,79.477997,1106677,85.81," $1,834.80 ",
2010,10/5/2023,81.5,83,81.099998,82.900002,81.242004,2533144,84.07," $1,831.80 ",
2010,10/8/2023,82.800003,83,82,82,80.360001,573051,#N/A,#N/A,
2010,10/9/2023,82.199997,82.199997,80.300003,80.5,78.889999,2400227,88.15," $1,864.30 ",
2010,10/10/2023,80.900002,81.199997,80.5,80.800003,79.184006,1453387,87.65," $1,875.30 ",
2010,10/11/2023,81,81.099998,79.099998,79.099998,77.517998,2950561,85.82," $1,887.30 ",
2010,10/12/2023,79.199997,80.099998,78.800003,80.099998,78.498001,1767156,86," $1,883.00 ",
2010,10/15/2023,80.5,80.599998,79.599998,80,78.400002,931284,#N/A,#N/A,
2010,10/16/2023,80.099998,80.199997,78.800003,78.800003,77.224007,2561319,89.65," $1,934.30 ",
2010,10/17/2023,79,79.599998,78.800003,79.5,77.910004,1626022,89.9," $1,935.70 ",
2010,10/18/2023,79.599998,79.699997,78.800003,78.900002,77.322006,2487974,91.5," $1,968.30 ",
2010,10/19/2023,79,79.099998,78.900002,79.099998,77.517998,722875,92.38," $1,980.50 ",
2010,10/22/2023,79.199997,79.599998,78.800003,78.800003,77.224007,908221,#N/A,#N/A,
2010,10/23/2023,78.599998,78.699997,75.800003,75.800003,74.284004,2786893,89.83," $1,987.80 ",
2010,10/24/2023,76.099998,77.099998,75.300003,76,74.480003,1332419,88.07," $1,986.10 ",
2010,10/25/2023,76.199997,77.800003,76.099998,77.800003,76.244003,1040176,90.13," $1,994.90 ",
2010,10/26/2023,77.800003,77.800003,76.199997,76.699997,75.166,1624780,87.93," $1,997.40 ",
2010,10/29/2023,76.900002,77.300003,75.800003,76.800003,75.264008,628939,#N/A,#N/A,
2010,10/30/2023,77.199997,77.400002,76.099998,76.099998,74.578003,879083,87.45," $2,005.60 ",
2010,10/31/2023,76.5,77.400002,76.5,77,75.459999,1124259,87.41," $1,994.30 ",
2010,11/1/2023,77.300003,77.300003,75.699997,75.699997,74.185997,1984896,84.63," $1,987.50 ",
2010,11/2/2023,75.800003,80,75.699997,78.300003,76.734001,4374620,86.85," $1,993.50 ",
2010,11/5/2023,79,80.400002,78.900002,80.400002,78.792,1045542,#N/A,#N/A,
2010,11/6/2023,80.400002,81.300003,79.199997,79.400002,77.812004,1389135,85.18," $1,988.60 ",
2010,11/7/2023,80.199997,80.199997,78.199997,79,77.419998,1067506,81.61," $1,973.50 ",
2010,11/8/2023,78.699997,78.800003,77.800003,77.800003,76.244003,1022028,79.54," $1,957.80 ",
2010,11/9/2023,77.800003,78.199997,77.199997,77.800003,76.244003,818524,80.01," $1,969.80 ",
2010,11/12/2023,78,78.599998,77.599998,77.699997,76.145996,535329,#N/A,#N/A,
2010,11/13/2023,77.900002,78.300003,77.5,78.099998,76.538002,572281,82.52," $1,950.20 ",
2010,11/14/2023,78.099998,78.599998,78,78,76.440002,548945,82.47," $1,966.50 ",
2010,11/15/2023,78.300003,81.300003,78.199997,81.300003,79.674004,2000451,81.18," $1,964.30 ",
2010,11/16/2023,81.5,82.400002,81.199997,82.099998,80.458,1518914,77.42," $1,987.30 ",
2010,11/19/2023,82.300003,83,82.199997,83,81.340004,722736,#N/A,#N/A,
2010,11/20/2023,82.5,82.900002,81.599998,81.599998,79.968002,2739924,82.32," $1,980.30 ",
2010,11/21/2023,81.699997,81.900002,80.5,80.5,78.889999,1250142,82.45," $2,001.60 ",
2010,11/22/2023,80.800003,81.5,80.699997,81.300003,79.674004,994781,81.96," $1,992.80 ",
2010,11/23/2023,80.800003,81.5,80.699997,81.300003,79.674004,994781,81.42,#N/A,
2010,11/26/2023,81.099998,81.5,80.599998,80.800003,79.184006,424041,#N/A,#N/A,
2010,11/27/2023,80.599998,80.900002,79.300003,79.5,77.910004,1144265,79.98," $2,012.40 ",
2010,11/28/2023,79.900002,80.400002,78.800003,79,77.419998,1403453,81.68," $2,040.00 ",
2010,11/29/2023,79.699997,79.699997,79,79.300003,77.714005,739784,83.1," $2,047.10 ",
2010,11/30/2023,79.5,79.599998,79,79.199997,77.615997,3646269,82.83," $2,038.10 ",
2010,12/3/2023,79.400002,80.400002,79.400002,80.099998,78.498001,683333,#N/A,#N/A,
2010,12/4/2023,80.199997,80.5,79.5,79.800003,78.204002,836551,78.03," $2,042.20 ",
2010,12/5/2023,79.800003,80.300003,79.5,80.099998,78.498001,1294878,77.2," $2,036.30 ",
2010,12/6/2023,80,80.199997,79.800003,80,78.400002,1112538,74.3," $2,047.90 ",
2010,12/7/2023,80,80.099998,79.599998,80,78.400002,782040,74.05," $2,046.40 ",
2010,12/10/2023,80,80.300003,79.800003,79.900002,78.302002,702682,#N/A,#N/A,
2010,12/11/2023,79.900002,81,79.5,80.400002,78.792,2396901,76.03," $1,993.70 ",
2010,12/12/2023,80.599998,81,78.900002,78.900002,77.322006,2434460,73.24," $1,993.20 ",
2010,12/13/2023,78.900002,79.400002,78.400002,79.099998,77.517998,1061315,74.26," $1,997.30 ",
2010,12/14/2023,79.300003,79.900002,79,79.199997,77.615997,1826782,76.61," $2,044.90 ",
2010,12/17/2023,79.800003,80.199997,79.400002,80,78.400002,1174650,#N/A,#N/A,
2010,12/18/2023,80,81.699997,79.599998,81.300003,79.674004,2068883,77.95," $2,040.50 ",
2010,12/19/2023,81.400002,82.800003,81.400002,82.800003,81.144005,2142396,79.23," $2,052.10 ",
2010,12/20/2023,82.900002,82.900002,81.199997,81.199997,79.575996,1167913,79.7," $2,047.70 ",
2010,12/21/2023,81.199997,81.699997,80.599998,81.199997,79.575996,1004797,79.39," $2,051.30 ",
2010,12/24/2023,81.300003,81.5,81.099998,81.5,79.870003,324015,#N/A,#N/A,
2010,12/25/2023,81.599998,81.900002,81.300003,81.800003,80.164001,1200136,#N/A,#N/A,
2010,12/26/2023,82.099998,82.699997,82,82.300003,80.654007,1213741,81.07," $2,069.80 ",
2010,12/27/2023,82.599998,83,82.300003,82.900002,81.242004,1029124,79.65," $2,093.10 ",
2010,12/28/2023,82.900002,84.300003,82.5,83.300003,81.634003,2994613,78.39," $2,083.50 ",
2010,12/31/2023,83.5,83.900002,83.300003,83.5,81.830002,699710,#N/A,#N/A,
2010,1/1/2024,83.599998,84,83.400002,83.699997,82.026001,1172513,#N/A,#N/A,
2010,1/2/2024,84,84.199997,83,83.300003,81.634003,2303267,75.89," $2,073.40 ",
2010,1/3/2024,83.300003,83.599998,81.800003,82,80.360001,2283490,78.25," $2,042.80 ",
2010,1/4/2024,80.900002,81,79.599998,80.599998,78.987999,2841328,77.59," $2,050.00 ",
2010,1/7/2024,80.800003,81.5,80.699997,81.5,79.870003,1436261,#N/A,#N/A,
2010,1/8/2024,81.5,82.099998,81.099998,81.699997,80.066002,1309020,76.12," $2,033.50 ",
2010,1/9/2024,81.900002,82,81.099998,81.099998,79.477997,1002382,77.59," $2,033.00 ",
2010,1/10/2024,81.199997,81.699997,80,80,78.400002,1577591,76.8," $2,027.80 ",
2010,1/11/2024,80.099998,80.800003,79.800003,79.900002,78.302002,1097367,77.41," $2,019.20 ",
2010,1/14/2024,79.900002,80.300003,79.400002,80,78.400002,661633,#N/A,#N/A,
2010,1/15/2024,80,80.199997,79.5,79.900002,78.302002,914272,78.15,#N/A,
2010,1/16/2024,79.900002,79.900002,79,79,77.419998,1087134,78.29," $2,030.20 ",
2010,1/17/2024,79.300003,79.300003,77.400002,78,76.440002,2193246,77.88," $2,006.50 ",
2010,1/18/2024,78.099998,78.400002,76,77,75.459999,3046576,79.1," $2,021.60 ",
2010,1/21/2024,77.699997,78,77.5,77.800003,76.244003,736764,#N/A,#N/A,
2010,1/22/2024,77.800003,77.800003,77.800003,77.800003,76.244003,0,80.06," $2,022.20 ",
2010,1/23/2024,78.400002,78.800003,78,78.800003,77.224007,886764,79.55," $2,025.80 ",
2010,1/24/2024,78.800003,79.400002,78.5,79.300003,77.714005,741208,80.04," $2,016.00 ",
2010,1/25/2024,79.300003,79.400002,78.400002,78.800003,77.224007,1094220,82.43," $2,017.80 ",
2010,1/28/2024,79,79.5,78.699997,79.199997,77.615997,665208,#N/A,#N/A,
2010,1/29/2024,79.199997,80,79.199997,79.699997,78.105995,1127512,82.4," $2,025.40 ",
2010,1/30/2024,79.699997,79.900002,78,78.099998,76.538002,1475815,82.87," $2,031.50 ",
2010,1/31/2024,78.099998,78.5,77.599998,77.900002,76.342003,1087887,81.71," $2,048.40 ",
2010,2/1/2024,78,78.400002,77.400002,78.400002,76.832001,1108026,78.7," $2,071.10 ",
2010,2/4/2024,78.400002,78.599998,78,78.599998,77.028,432500,#N/A,#N/A,
2010,2/5/2024,78.699997,78.900002,78.400002,78.400002,76.832001,671384,77.99," $2,042.90 ",
2010,2/6/2024,78.5,79.199997,78.099998,79.199997,77.615997,1315719,78.59," $2,051.40 ",
2010,2/7/2024,78.5,79.599998,78.5,79.400002,77.812004,1284893,79.21," $2,051.70 ",
2010,2/8/2024,78.5,79.599998,78.5,79.400002,77.812004,1284893,81.63," $2,047.90 ",
2010,2/11/2024,79.699997,79.900002,79.400002,79.5,77.910004,1194118,#N/A,#N/A,
2010,2/12/2024,79.900002,80.800003,79.599998,80,78.400002,2526790,82," $2,033.00 ",
2010,2/13/2024,78.699997,78.900002,78,78.400002,78.400002,2285831,82.77," $2,007.20 ",
2010,2/14/2024,78.5,78.699997,78,78.599998,78.599998,857891,81.6," $2,004.30 ",
2010,2/15/2024,78.599998,79,78.300003,79,79,873858,82.86," $2,014.90 ",
2010,2/18/2024,79,79.199997,78.599998,79,79,722894,#N/A,#N/A,
2010,2/19/2024,78.800003,79.300003,78.300003,79.199997,79.199997,1468305,83.56,#N/A,
2010,2/20/2024,79.199997,79.400002,78.599998,79.400002,79.400002,870514,82.34," $2,039.80 ",
2010,2/21/2024,79.300003,79.400002,79,79.099998,79.099998,919137,83.03," $2,034.30 ",
2010,2/25/2024,79.199997,79.800003,79.199997,79.800003,79.800003,753168,#N/A,#N/A,
2010,2/26/2024,79.800003,80.800003,78.800003,78.800003,78.800003,1977139,82.53," $2,038.90 ",
2010,2/27/2024,78.800003,79.900002,78.699997,79.900002,79.900002,952937,83.65," $2,044.10 ",
2010,2/28/2024,78.5,79.199997,77.800003,79,79,2368625,83.68," $2,042.70 ",
2010,2/29/2024,79,79,78.300003,78.800003,78.800003,2189401,83.62," $2,054.70 ",
2010,3/3/2024,78.599998,78.800003,78.199997,78.199997,78.199997,610056,#N/A,#N/A,
2010,3/4/2024,78.300003,78.699997,77.699997,77.699997,77.699997,1124937,82.8," $2,126.30 ",
2010,3/5/2024,77.699997,77.699997,77.699997,77.699997,77.699997,0,82.04," $2,141.90 ",
2010,3/6/2024,78,79.199997,78,78.900002,78.900002,1071055,82.96," $2,158.20 ",
2010,3/7/2024,79,79,78,78.199997,78.199997,1063182,82.96," $2,165.20 ",
2010,3/10/2024,78.199997,78.599998,78.099998,78.400002,78.400002,679013,#N/A,#N/A,
2010,3/11/2024,78.199997,78.699997,77.900002,78.699997,78.699997,1360266,82.21," $2,188.60 ",
2010,3/12/2024,78.599998,78.900002,78.199997,78.599998,78.599998,1206184,81.92," $2,166.10 ",
2010,3/13/2024,78.699997,78.800003,77.900002,77.900002,77.900002,1841396,84.03," $2,180.80 ",
2010,3/14/2024,78,78.199997,77.400002,77.400002,77.400002,3128839,85.42," $2,167.50 ",
2010,3/17/2024,77.5,77.699997,77.400002,77.400002,77.400002,648163,#N/A,#N/A,
2010,3/18/2024,77.599998,77.699997,76.900002,76.900002,76.900002,1860609,86.89," $2,164.30 ",
2010,3/19/2024,76.900002,77.300003,76.800003,76.800003,76.800003,1157875,87.38," $2,159.70 ",
2010,3/20/2024,77,78.800003,76.900002,78.800003,78.800003,1799037,85.95," $2,161.00 ",
2010,3/21/2024,78.800003,78.900002,77.599998,77.599998,77.599998,1173293,85.78," $2,184.70 ",
2010,3/24/2024,78.599998,78.599998,77.5,77.900002,77.900002,588752,#N/A,#N/A,
2010,3/25/2024,77.900002,78,77.099998,77.099998,77.099998,1041642,86.75," $2,176.40 ",
2010,3/26/2024,77.300003,77.400002,76.800003,77,77,1103384,86.25," $2,177.20 ",
2010,3/27/2024,77.300003,77.300003,76.800003,77,77,893829,86.09," $2,190.60 ",
2010,3/28/2024,77.099998,78.599998,76.900002,78.099998,78.099998,2029926,87.48," $2,217.40 ",
2010,3/31/2024,78.099998,79,78.099998,78.300003,78.300003,1409065,#N/A,#N/A,
2010,4/1/2024,78.300003,80.5,78.300003,78.699997,78.699997,2275701,87.42," $2,257.10 ",
2010,4/2/2024,78.699997,83.400002,78.699997,83,83,6411214,88.92," $2,281.80 ",
2010,4/3/2024,83.199997,86.400002,82.599998,86.099998,86.099998,6865606,89.35," $2,315.00 ",
2010,4/4/2024,86.199997,89,86.099998,88.400002,88.400002,6139091,90.65," $2,308.50 ",
2010,4/14/2024,null,null,null,null,null,null,#N/A,#N/A,
2010,4/15/2024,85.699997,87.400002,85.400002,85.699997,85.699997,2371668,90.1," $2,383.00 ",
2010,4/16/2024,85.699997,85.699997,82.099998,82.099998,82.099998,2701105,90.02," $2,407.80 ",
2010,4/17/2024,82.099998,82.5,80.800003,81.900002,81.900002,2370538,87.29," $2,388.40 ",
2010,4/18/2024,81.900002,81.900002,80.699997,80.900002,80.900002,1541254,87.11," $2,398.00 ",
2010,4/21/2024,81.099998,81.599998,79.599998,79.699997,79.699997,1254917,#N/A,#N/A,
2010,4/22/2024,80,80.5,78.900002,78.900002,78.900002,1825203,87," $2,346.40 ",
2010,4/23/2024,79.199997,80.400002,79.199997,79.800003,79.800003,1248682,88.42," $2,342.10 ",
2010,4/24/2024,79.900002,80.099998,78.699997,78.900002,78.900002,1306771,88.02," $2,338.40 ",
2010,4/25/2024,79.699997,79.699997,78.800003,78.800003,78.800003,622423,89.01," $2,342.50 ",
2010,4/28/2024,78.800003,78.800003,78.800003,78.800003,78.800003,0,#N/A,#N/A,
2010,4/29/2024,82.800003,87,82.300003,85.5,85.5,4394504,88.4," $2,357.70 ",
2010,4/30/2024,85.800003,85.800003,84,84.5,84.5,3430022,85.9,#N/A,
